Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
12/7/16,39.986,1.06,28.3,11.9,2.38,G,G,G,1.45,UpUp
12/8/16,40.259,1.08,30.3,11.5,2.63,G,G,G,1.51,UpUp
12/9/16,40.308,1.08,31.1,11.6,2.67,G,Y,G,1.53,UpUp
12/12/16,40.116,1.04,26.3,12.8,2.06,Y,Y,Y,1.52,UpUp
12/13/16,40.239,1.04,27.3,11.5,2.37,G,Y,G,1.52,UpUp
12/14/16,39.872,1.01,23.8,13.2,1.8,Y,Y,Y,1.45,DnUp
12/15/16,39.948,1.02,24.7,13.8,1.8,Y,Y,Y,1.42,DnUp
12/16/16,39.909,1.01,24.7,14.1,1.75,Y,Y,Y,1.39,DnUp
12/19/16,39.988,1.03,26.0,13.8,1.89,Y,Y,Y,1.41,DnUp
12/20/16,40.161,1.04,27.4,12.5,2.19,Y,Y,Y,1.45,DnUp
12/21/16,40.056,1.03,26.7,12.8,2.08,Y,Y,Y,1.46,UpUp
12/22/16,39.858,1.02,24.9,13.9,1.78,R,Y,Y,1.41,DnUp
12/23/16,39.987,1.03,25.6,13.1,1.95,G,G,G,1.42,UpUp
12/27/16,40.091,1.04,26.7,12.5,2.13,G,G,G,1.43,UpUp
12/28/16,39.792,1.02,22.6,11.9,1.9,R,Y,Y,1.4,DnUp
12/29/16,39.829,1.03,23.0,11.2,2.05,Y,Y,Y,1.4,DnUp
12/30/16,39.723,1.02,21.7,11.8,1.85,R,Y,Y,1.37,DnUp
1/3/17,39.966,1.05,25.1,10.0,2.5,Y,G,G,1.4,DnUp
1/4/17,40.392,1.09,29.5,7.6,3.9,G,G,G,1.45,UpUp
1/5/17,40.289,1.08,28.5,7.6,3.74,Y,Y,Y,1.46,UpUp
1/6/17,40.282,1.08,28.6,7.8,3.64,Y,Y,Y,1.46,UpUp
1/9/17,40.117,1.06,23.6,8.3,2.85,Y,Y,Y,1.45,UpUp
1/10/17,40.285,1.07,25.4,7.2,3.52,G,G,G,1.46,UpUp
1/11/17,40.367,1.08,26.7,7.6,3.51,Y,Y,Y,1.47,DnUp
1/12/17,40.219,1.07,24.6,7.8,3.17,R,Y,Y,1.46,DnUp
1/13/17,40.375,1.08,26.6,7.6,3.48,G,Y,Y,1.47,UpUp
1/17/17,40.174,1.06,21.6,7.2,3.02,Y,Y,Y,1.45,UpUp
1/18/17,40.244,1.06,23.4,7.5,3.12,Y,Y,Y,1.45,DnUp
1/19/17,40.065,1.05,19.5,8.7,2.25,R,Y,Y,1.43,DnUp
1/20/17,40.186,1.06,22.4,8.3,2.7,Y,Y,Y,1.43,DnUp
1/23/17,40.165,1.06,22.3,8.8,2.55,Y,Y,Y,1.42,DnUp
1/24/17,40.566,1.08,27.6,7.8,3.55,G,G,G,1.45,UpUp
1/25/17,40.855,1.1,31.3,7.5,4.15,G,G,G,1.49,UpUp
1/26/17,40.774,1.09,30.0,8.3,3.63,Y,Y,Y,1.49,UpUp
1/27/17,40.752,1.09,28.6,8.8,3.27,Y,Y,Y,1.48,UpUp
1/30/17,40.437,1.05,21.5,9.5,2.27,Y,Y,Y,1.45,UpUp
1/31/17,40.536,1.05,18.9,8.7,2.18,Y,Y,Y,1.44,DnUp
2/1/17,40.545,1.05,19.8,9.1,2.17,Y,Y,Y,1.43,DnUp
2/2/17,40.544,1.05,19.3,9.3,2.08,R,Y,Y,1.42,DnUp
2/3/17,40.874,1.07,24.4,9.0,2.71,G,Y,Y,1.45,UpUp
2/6/17,40.736,1.06,22.1,9.5,2.33,Y,Y,Y,1.45,UpUp
2/7/17,40.675,1.02,16.5,9.8,1.68,Y,Y,Y,1.38,UpUp
2/8/17,40.691,1.02,16.7,10.3,1.61,G,Y,Y,1.33,UpUp
2/9/17,40.966,1.04,19.1,9.4,2.03,Y,Y,Y,1.4,UpUp
2/10/17,41.169,1.06,21.9,8.8,2.48,G,Y,Y,1.45,UpUp
2/13/17,41.314,1.06,24.6,8.7,2.82,G,Y,G,1.47,UpUp
2/14/17,41.374,1.06,23.6,7.9,3.0,G,Y,G,1.48,UpUp
2/15/17,41.55,1.07,25.9,7.9,3.27,G,G,G,1.5,UpUp
2/16/17,41.507,1.06,25.3,8.6,2.94,Y,Y,Y,1.49,UpUp
2/17/17,41.534,1.06,24.8,8.4,2.96,G,Y,G,1.49,UpUp
2/21/17,41.761,1.06,26.3,7.7,3.39,G,Y,G,1.51,UpUp
2/22/17,41.695,1.05,25.6,9.1,2.81,Y,Y,Y,1.5,UpUp
2/23/17,41.574,1.04,24.6,9.9,2.49,Y,Y,Y,1.48,UpUp
2/24/17,41.566,1.04,23.4,11.0,2.13,Y,Y,Y,1.47,UpUp
2/27/17,41.681,1.05,24.7,9.6,2.57,G,Y,Y,1.47,UpUp
2/28/17,41.397,1.02,18.7,11.1,1.68,Y,Y,Y,1.39,DnUp
3/1/17,41.893,1.05,25.4,10.3,2.47,G,Y,Y,1.45,UpUp
3/2/17,41.585,1.02,20.9,12.0,1.74,Y,Y,Y,1.39,UpUp
3/3/17,41.612,1.02,21.9,12.3,1.78,G,Y,Y,1.37,UpUp
3/6/17,41.431,1.01,19.5,13.4,1.46,Y,Y,Y,1.29,DnUp
3/7/17,41.276,1.0,16.0,13.5,1.19,R,Y,Y,1.2,DnUp
3/8/17,41.142,0.98,14.4,15.3,0.94,Y,R,R,1.11,DnUp
